diode,ip,pw,rw,cl,epush_pJ,epull_pJ,ecyc1_pJ,ecyc2_pJ,ecycT_pJ,railA_V,railB_V,rail_ok_0.25
SC,0.2m,1n,100,0.5p,0.0386,0.0386,0.0386,-0.0065,0.0320,0.0289,-0.0289,N
SC,0.2m,1n,100,1p,0.0260,0.0260,0.0260,-0.0126,0.0134,0.0154,-0.0154,N
SC,0.2m,1n,500,0.5p,0.0568,0.0568,0.0568,0.0117,0.0684,0.0289,-0.0289,N
SC,0.2m,1n,500,1p,0.0442,0.0442,0.0442,0.0055,0.0498,0.0154,-0.0154,N
SC,0.2m,3n,100,0.5p,0.2308,0.2308,0.2308,0.1382,0.3690,0.0934,-0.0934,N
SC,0.2m,3n,100,1p,0.1836,0.1836,0.1836,0.0471,0.2307,0.0713,-0.0713,N
SC,0.2m,3n,500,0.5p,0.2852,0.2852,0.2852,0.1926,0.4778,0.0934,-0.0934,N
SC,0.2m,3n,500,1p,0.2380,0.2380,0.2380,0.1015,0.3395,0.0713,-0.0713,N
SC,0.5m,0.5n,100,0.5p,0.0698,0.0698,0.0698,0.0127,0.0825,0.0736,-0.0736,N
SC,0.5m,0.5n,100,1p,0.0488,0.0488,0.0488,-0.0070,0.0418,0.0369,-0.0369,N
SC,0.5m,0.5n,500,0.5p,0.1268,0.1268,0.1268,0.0697,0.1965,0.0736,-0.0736,N
SC,0.5m,0.5n,500,1p,0.1058,0.1058,0.1058,0.0500,0.1558,0.0369,-0.0369,N
SC,0.5m,10n,100,0.5p,3.8059,3.8059,3.8059,3.6589,7.4648,0.2497,-0.2497,N
SC,0.5m,10n,100,1p,3.6873,3.6873,3.6873,3.4326,7.1199,0.2497,-0.2497,N
SC,0.5m,10n,500,0.5p,4.9392,4.9392,4.9392,4.7921,9.7313,0.2497,-0.2497,N
SC,0.5m,10n,500,1p,4.8206,4.8206,4.8206,4.5658,9.3864,0.2497,-0.2497,N
SC,0.5m,1n,100,0.5p,0.2177,0.2177,0.2177,0.1193,0.3369,0.1698,-0.1698,N
SC,0.5m,1n,100,1p,0.1591,0.1591,0.1591,0.0371,0.1962,0.0913,-0.0913,N
SC,0.5m,1n,500,0.5p,0.3314,0.3314,0.3314,0.2330,0.5643,0.1698,-0.1698,N
SC,0.5m,1n,500,1p,0.2728,0.2728,0.2728,0.1508,0.4236,0.0913,-0.0913,N
SC,0.5m,3n,100,0.5p,0.9892,0.9892,0.9892,0.8608,1.8500,0.2466,-0.2466,N
SC,0.5m,3n,100,1p,0.8695,0.8695,0.8695,0.6559,1.5253,0.2328,-0.2328,N
SC,0.5m,3n,500,0.5p,1.3294,1.3294,1.3294,1.2009,2.5302,0.2466,-0.2466,N
SC,0.5m,3n,500,1p,1.2096,1.2096,1.2096,0.9959,2.2055,0.2328,-0.2328,N
SC,1m,0.5n,100,0.5p,0.2659,0.2659,0.2659,0.1610,0.4269,0.2456,-0.2456,N
SC,1m,0.5n,100,1p,0.1936,0.1936,0.1936,0.0704,0.2639,0.1233,-0.1233,N
SC,1m,0.5n,500,0.5p,0.4939,0.4939,0.4939,0.3891,0.8830,0.2456,-0.2456,N
SC,1m,0.5n,500,1p,0.4216,0.4216,0.4216,0.2985,0.7201,0.1233,-0.1233,N
SC,1m,10n,100,0.5p,11.5377,11.5377,11.5377,11.3497,22.8874,0.4995,-0.4995,Y
SC,1m,10n,100,1p,11.2793,11.2793,11.2793,10.9322,22.2115,0.4995,-0.4995,Y
SC,1m,10n,500,0.5p,16.0708,16.0709,16.0708,15.8828,31.9536,0.4995,-0.4995,Y
SC,1m,10n,500,1p,15.8124,15.8124,15.8124,15.4653,31.2776,0.4995,-0.4995,Y
SC,1m,1n,100,0.5p,0.7576,0.7576,0.7576,0.6076,1.3652,0.4063,-0.4063,Y
SC,1m,1n,100,1p,0.5905,0.5905,0.5905,0.3780,0.9685,0.2944,-0.2944,Y
SC,1m,1n,500,0.5p,1.2124,1.2124,1.2124,1.0623,2.2747,0.4063,-0.4063,Y
SC,1m,1n,500,1p,1.0453,1.0453,1.0453,0.8328,1.8781,0.2944,-0.2944,Y
SC,1m,3n,100,0.5p,3.1182,3.1182,3.1182,2.9403,6.0584,0.4971,-0.4971,Y
SC,1m,3n,100,1p,2.8263,2.8263,2.8263,2.5215,5.3478,0.4836,-0.4836,Y
SC,1m,3n,500,0.5p,4.4787,4.4787,4.4787,4.3006,8.7793,0.4971,-0.4971,Y
SC,1m,3n,500,1p,4.1868,4.1868,4.1868,3.8818,8.0686,0.4836,-0.4836,Y
